market_value,total_livable_area,zip_code
291100,2479,19112213
1866000,155875,191120000
393900,31779,191120000
450900,25172,191120000
1783100,527072,191121311
518300,107873,191120000
50700,5396,191121201
277600,79688,191121801
6392000,50000,19112
6385100,50000,19112,
43008700,335340,191120000
15550400,528276,191120000
1854500,19260,191120000
98123100,338277,191120000
1048500,23940,191121610
271600,13300,191120000
3078900,380086,191120000
655000,99000,191120000
2910100,99715,191120000
680800,2400,191120000
699400,85953,191120000
746900,133667,191120000
503600,8684,191120000
667400,92477,191120000
14000,3344,191120000
532500,49600,191121402
819200,133914,191121801
3193000,72376,191120000
528700,122119,191122140
9352800,28032,191120000
1290500,77681,191120000
2523500,210000,191120000
5857300,499823,191120000
8000,1187,191120000
335800,22970,191120000
3103400,54250,19112
13376000,100000,19112
1219000,6278,191120000
761900,63922,191120000
8694400,808119,191120000
71600,10373,191120000
99800,1900,191120000
9750900,75000,19112
33659100,100000,19112
5948600,2220,191120000
349000,40000,191121030
3479600,0,19112
31768200,0,191120000
59209700,236800,191121001
15819500,47220,191120000
27615200,106400,191121016
8652300,33000,191120000
11336400,45618,191120000
22244000,83120,191120000
5571100,43241,191120000
26548300,99498,19112
1200000,0,191121130
1817300,0,191120000
685700,0,191120000
993500,0,19112
4535200,0,191120000
29747300,0,191121224
467400,0,191120000
1611900,0,191120000
1299000,0,191121307
2401200,27720,191121410
21825500,80050,19112
15380700,56412,19112
13487100,74550,19112
13645600,147671,19112
1800900,4642,19112
15462600,0,191121801
180300,22523,19112
155600,21938,19112
19657400,700000,19112
962000,0,19112
546200,78462,191120000
